Ticker,Date,Open,High,Low,Close,Volume
ZELP,2021-10-25,0.0,0.0,0.0,0.44,0.0
ZELP,2021-10-29,0.0,0.0,0.0,0.44,0.0
ZAHID,2018-01-02,12.51,12.75,12.5,12.75,4500.0
ZAHID,2018-01-03,12.6,12.6,12.6,12.6,1000.0
ZAHID,2018-01-05,13.4,13.4,13.4,13.4,500.0
ZAHID,2018-01-08,13.5,14.0,13.5,13.99,5500.0
ZAHID,2018-01-09,13.08,13.89,13.06,13.89,6500.0
ZAHID,2018-01-10,13.95,14.15,13.5,13.98,4000.0
ZAHID,2018-01-12,13.5,13.8,13.4,13.8,9500.0
ZAHID,2018-01-16,14.0,14.1,13.75,14.0,8000.0
ZAHID,2018-01-17,14.0,14.05,14.0,14.0,30500.0
ZAHID,2018-01-18,13.51,13.51,13.2,13.51,8000.0
ZAHID,2018-01-22,14.0,14.1,14.0,14.05,21500.0
ZAHID,2018-01-23,13.6,14.0,13.55,14.0,5000.0
ZAHID,2018-01-24,13.6,13.8,13.6,13.8,3000.0
ZAHID,2018-01-25,13.65,13.65,13.65,13.8,500.0
ZAHID,2018-01-29,13.55,14.0,13.55,14.0,1500.0
ZAHID,2018-02-01,13.6,13.6,13.5,13.5,16000.0
ZAHID,2018-02-02,13.9,14.0,13.6,13.74,4500.0
ZAHID,2018-02-07,13.5,13.5,13.41,13.41,2000.0
ZAHID,2018-02-09,13.2,13.2,13.2,13.2,1500.0
ZAHID,2018-02-12,13.33,13.33,13.33,13.33,500.0
ZAHID,2018-02-13,13.7,14.33,13.7,14.33,11000.0
ZAHID,2018-02-14,13.8,13.8,13.75,13.75,2000.0
ZAHID,2018-02-19,14.1,14.55,14.0,14.41,31000.0
ZAHID,2018-02-20,14.48,14.48,14.48,14.48,500.0
ZAHID,2018-02-23,13.75,13.75,13.75,13.75,500.0
ZAHID,2018-02-27,13.45,13.95,13.45,13.95,2000.0
ZAHID,2018-02-28,13.3,14.49,13.3,14.0,8500.0
ZAHID,2018-03-01,14.89,14.89,14.4,14.4,3500.0
ZAHID,2018-03-02,14.0,14.13,14.0,14.13,2000.0
ZAHID,2018-03-05,14.05,14.05,14.05,14.05,500.0
ZAHID,2018-03-06,14.49,14.89,14.49,14.8,95500.0
ZAHID,2018-03-07,14.52,14.53,14.52,14.52,4000.0
ZAHID,2018-03-08,14.15,14.51,14.15,14.51,4500.0
ZAHID,2018-03-09,14.45,14.45,14.21,14.21,8500.0
ZAHID,2018-03-14,14.5,15.21,14.5,15.21,35500.0
ZAHID,2018-03-15,14.62,15.0,14.62,15.0,5000.0
ZAHID,2018-03-16,15.05,15.05,15.0,15.01,2500.0
ZAHID,2018-03-19,15.01,15.01,15.0,15.0,2000.0
ZAHID,2018-03-20,15.05,16.0,15.05,15.97,22500.0
ZAHID,2018-03-21,15.4,16.15,15.0,15.2,10000.0
ZAHID,2018-03-26,15.65,15.95,15.65,15.95,2500.0
ZAHID,2018-03-27,15.21,15.75,15.21,15.22,6500.0
ZAHID,2018-04-02,15.21,15.22,15.2,15.2,3500.0
ZAHID,2018-04-03,14.7,14.7,14.7,14.7,500.0
ZAHID,2018-04-04,15.05,15.05,14.2,15.0,2500.0
ZAHID,2018-04-05,14.99,15.05,14.99,15.01,17500.0
ZAHID,2018-04-06,15.06,15.06,15.05,15.05,1500.0
ZAHID,2018-04-10,15.13,15.13,15.0,15.0,2000.0
ZAHID,2018-04-11,15.45,15.47,15.39,15.4,19500.0
ZAHID,2018-04-12,15.6,16.0,15.45,15.45,5000.0
ZAHID,2018-04-13,15.6,15.6,15.6,15.6,1000.0
ZAHID,2018-04-16,15.2,15.2,15.2,15.2,500.0
ZAHID,2018-04-17,15.1,15.1,15.1,15.1,1000.0
ZAHID,2018-04-18,15.1,15.1,15.1,15.1,500.0
ZAHID,2018-04-19,15.1,15.1,15.1,15.1,500.0
ZAHID,2018-04-20,15.0,15.1,15.0,15.1,1000.0
ZAHID,2018-04-23,15.24,15.25,15.24,15.25,1000.0
ZAHID,2018-04-25,15.45,15.7,15.3,15.57,7500.0
ZAHID,2018-04-26,15.8,16.1,15.5,15.5,8500.0
ZAHID,2018-04-27,15.7,16.3,15.7,15.88,5000.0
ZAHID,2018-04-30,15.95,16.65,15.75,16.17,32500.0
ZAHID,2018-05-02,16.4,16.5,16.4,16.5,2000.0
ZAHID,2018-05-03,16.4,16.4,16.4,16.4,1000.0
ZAHID,2018-05-10,16.0,16.0,15.42,15.42,1000.0
ZAHID,2018-05-11,16.39,16.42,16.39,16.42,2000.0
ZAHID,2018-05-14,16.99,16.99,16.99,16.99,1000.0
ZAHID,2018-05-30,16.95,17.9,16.95,17.23,5000.0
ZAHID,2018-05-31,16.25,16.25,16.25,16.25,1000.0
ZAHID,2018-06-04,15.25,17.2,15.25,17.2,1000.0
ZAHID,2018-06-05,16.25,16.25,16.2,16.2,2000.0
